,Title,Price,Location,Description,Link
99,"Heimkino Beamer, native 1080p, OVP",95,13439 Reinickendorf,"Festpreis
Kein Tausch
So lange die Anzeige zu sehen ist, ist es auch zu haben.

TOPVISION Heimkino...",https://www.kleinanzeigen.de//s-anzeige/heimkino-beamer-native-1080p-ovp/2598308207-175-3459
51,"Beamer, Heimkino, native 1080p, OVP",95,13439 Reinickendorf,"Festpreis
Kein Tausch
So lange die Anzeige zu sehen ist, ist es auch zu haben.

TOPVISION Heimkino...",https://www.kleinanzeigen.de//s-anzeige/beamer-heimkino-native-1080p-ovp/2602855607-175-3459
90,Beamer 1080p mit WiFi und Bluetooth,99,10117 Mitte,"Nur einmal ausgepackt neu

Projektor mit WiFi und Bluetooth, Outdoor Portable Mini Projektoren...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-mit-wifi-und-bluetooth/2599262403-175-3520
66,Wimius K5 Beamer Projektor,100,10117 Mitte,"Verbindung über Wifi/Bluetooth, Auflösung 1080*720P, Kompatibel mit Lautsprechern, Apple,...",https://www.kleinanzeigen.de//s-anzeige/wimius-k5-beamer-projektor/2601549775-175-3520
303,Kurzdistanz Beamer uf70,100,12683 Biesdorf,"Verkauft wird ein UF70 Kurzdistanz Beamer
Zustand Gebraucht und funktionstüchtig
Für Fragen gerne...",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-uf70/2555407213-175-19394
236,Beamer abzugeben für wenig geld,100,12559 Köpenick,"Der Beamer hat ein nagelneues Leuchtmittel (120euro neupreis)
Er ist etwas eingestaubt funktioniert...",https://www.kleinanzeigen.de//s-anzeige/beamer-abzugeben-fuer-wenig-geld/2574096757-175-3364
286,BOSNAS Beamer Native 1080p 9000 Lux 4K,100,14089 Kladow,Biete einen Beamer mit einem Fehler im unteren Bild/Linse/Lampe den ich mir nicht...,https://www.kleinanzeigen.de//s-anzeige/bosnas-beamer-native-1080p-9000-lux-4k/2560122257-175-23977
253,Beamer / projektor and screen 100 EUR,100,12051 Neukölln,"Beamer, used for a year and a half and now not needed due to moving to a flat with a large tv,...",https://www.kleinanzeigen.de//s-anzeige/beamer-projektor-and-screen-100-eur/2569116861-175-3393
143,Originalverpackter Beamer von Dr. Q,100,12049 Neukölln,"Beamer in Topzustand, wie neu!
Alles originalverpackt.

Neupreis 180€

Ich gebe ihn ab, weil wir...",https://www.kleinanzeigen.de//s-anzeige/originalverpackter-beamer-von-dr-q/2591501886-175-3396
272,Portable LED Beamer neu mit Originalkarton,100,10827 Schöneberg,"Biete einen neuen unbenutzten LED Beamer an
Full HD
Mit Fernbedienung
Abholung bei mir oder Versand...",https://www.kleinanzeigen.de//s-anzeige/portable-led-beamer-neu-mit-originalkarton/2563959250-175-3447
224,GEHA compact 145 LCD Projektor (Beamer),110,10961 Kreuzberg,"mit Tasche, technisch und optisch einwandfrei.",https://www.kleinanzeigen.de//s-anzeige/geha-compact-145-lcd-projektor-beamer-/2577200515-168-3377
381,1080 HD Projector/ Beamer,120,10365 Lichtenberg,"1080 HD Projector. Neu und unbenutzt.
Der neue Preis beträgt 270 Euro.",https://www.kleinanzeigen.de//s-anzeige/1080-hd-projector-beamer/2474469349-175-3545
101,Beamer beno,120,13349 Wedding,Ist gut erhalten,https://www.kleinanzeigen.de//s-anzeige/beamer-beno/2598282876-175-3509
33,Dschungelkino: Echter Baumstamm als Beamer-Halterung,130,12163 Steglitz,Mein Sohn hatte sich einen Dschungelkino gewünscht und da wollte ich möglichst wenig Technik...,https://www.kleinanzeigen.de//s-anzeige/dschungelkino-echter-baumstamm-als-beamer-halterung/2604838713-246-3426
212,"Beamer 5G WiFi Bluetooth 5.1 Projektor, 9800-Lumen-Upgrade",139,10627 Charlottenburg,"[Stabil und flexibel mit WIFI-Technologie] - Ausgestattet mit Dual-Band (2,4G oder 5G)...",https://www.kleinanzeigen.de//s-anzeige/beamer-5g-wifi-bluetooth-5-1-projektor-9800-lumen-upgrade/2500059412-175-3343
429,Nebula Prizm 2 Beamer FullHD|,140,13585 Spandau,"Nebula Prizm 2 Beamer FullHD Neuwertig mit Zubehör

Ist vlt 20 Stunden gelaufen habe ihn aber jetzt...",https://www.kleinanzeigen.de//s-anzeige/nebula-prizm-2-beamer-fullhd-/2357780804-245-3438
187,Beamer Auna DLP-4500-HD 400 Weiß + Tripod + HDMI Apple cable,140,10405 Prenzlauer Berg,"Great little beamer. Working fine. Test possible at my place.

Comes with the box, remote, Hama...",https://www.kleinanzeigen.de//s-anzeige/beamer-auna-dlp-4500-hd-400-weiss-tripod-hdmi-apple-cable/2584389903-175-3492
258,"Clarks Wallabee Boot GTX x Beams in dunkelblau Wildleder Gr.44,5",145,12053 Neukölln,Clarks Wallabee Gore-Tex Collaboration mit Beams in einem dunkelblauen Wildleder worunter eine...,https://www.kleinanzeigen.de//s-anzeige/clarks-wallabee-boot-gtx-x-beams-in-dunkelblau-wildleder-gr-44-5/2567389327-158-3391
89,Beamer 1080p Full HD wlan Bluetooth,149,10969 Kreuzberg,"Native 1080P Mini-Projektor mit 100 Zoll Außenprojektor-Leinwand, kompatibel mit...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-full-hd-wlan-bluetooth/2599268690-175-9632
285,Amazon Beamer,150,10179 Mitte,Ich verkaufe hier meinen Beamer der ca ein Jahr alt ist. Er ist in einwandfreiem Zustand und wird...,https://www.kleinanzeigen.de//s-anzeige/amazon-beamer/2560270683-175-3521
112,Beamer Xuan PAD 2023,150,12629 Hellersdorf,"Beamer, XuanPad 2023 Verbesserter Nativer 1080P 5G WiFi Bluetooth Beamer 4K unterstützt, 6D/4P...",https://www.kleinanzeigen.de//s-anzeige/beamer-xuan-pad-2023/2596425931-175-3515
368,Kurzdistanz Beamer UF70,150,12353 Neukölln,"Verkaufe Kurzdistanz Beamer gebraucht
Ohne Zubehör
Keine Gewährleistung auf die Technik",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-uf70/2504749590-175-3388
325,Wifi Beamer Projektor weiß HD Heimkino Film Smartphone Video,150,13353 Wedding,"Nie benutzt. Deswegen abzugeben.
Alle technischen Daten...",https://www.kleinanzeigen.de//s-anzeige/wifi-beamer-projektor-weiss-hd-heimkino-film-smartphone-video/2550959274-175-3507
207,"Sweeper Beam 180W, Lichteffekt, Disko",169,10117 Mitte,"Sweeper Beam in technisch einwandfreiem Zustand.
Optisch gibt es einen kl. Gehäusebeschädigung,...",https://www.kleinanzeigen.de//s-anzeige/sweeper-beam-180w-lichteffekt-disko/2579985978-168-3520
238,LED LCD Beamer mit Mediaplayer,170,12459 Köpenick,"NO 600€, Beschreibung im Foto",https://www.kleinanzeigen.de//s-anzeige/led-lcd-beamer-mit-mediaplayer/2573936833-175-9628
177,Beamer 1080p 60fps neu,180,10997 Kreuzberg,"Beamer with WiFi Bluetooth, Mini Outdoor/Home Video Beamer Full HD Native 1080P Tragbar...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-60fps-neu/2585677474-175-3401
439,Dimond Beamer Lamp 2x Lampe Paar Ersatzlampen für Projektor PT-D7,180,10785 Tiergarten,"Dimond Beamer Lamp 2x Lampe Paar Ersatzlampen für Projektor PT-D7700 E860
Beamer bulb lamp
für...",https://www.kleinanzeigen.de//s-anzeige/dimond-beamer-lamp-2x-lampe-paar-ersatzlampen-fuer-projektor-pt-d7/2306684065-175-3498
6,LED FULL HD 1080 P HEIMKINO BEAMER ❤️ in FOLIE / KARTON * NEU *,199,13405 Reinickendorf,"LED FULL HD 1080 P HEIMKINO BEAMER ❤️ in FOLIE / KARTON * NEU *

HEIMKINO Film Abend, Formel...",https://www.kleinanzeigen.de//s-anzeige/led-full-hd-1080-p-heimkino-beamer-in-folie-karton-neu-/2607584031-175-3461
191,Kurzdistanz Beamer ust-w,200,12683 Biesdorf,"Verkaufe 4 Kurzdistanz Beamer
Projektor: UST-W
Model PJ3000

Lampen Lebensdauer und Preise

1. 1451...",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-ust-w/2583640255-175-19394
203,Beamer sehr guter Zustand,200,12305 Tempelhof,Mit Halterung,https://www.kleinanzeigen.de//s-anzeige/beamer-sehr-guter-zustand/2580918953-172-3410
110,Hochwertiger Beamer Projector Wandprojektor,200,12099 Tempelhof,"Hochwertiger Beamer
Wandprojektor

Eine neue Lampe wurde kürzlich eingebaut, diese war allein schon...",https://www.kleinanzeigen.de//s-anzeige/hochwertiger-beamer-projector-wandprojektor/2596756531-175-3409
225,Artlii Wi-Fi Beamer Android 9.0 - Artlii Projector,200,10437 Prenzlauer Berg,"Barely used Artlii projector, with original packaging
Incl. remote control, 1 power cable, 1 hdmi...",https://www.kleinanzeigen.de//s-anzeige/artlii-wi-fi-beamer-android-9-0-artlii-projector/2576999504-175-3491
67,WiMiUS HD Bluetooth LED Beamer (Black),225,10437 Prenzlauer Berg,"Mint condition, lightly used WiMiUS Beamer for pickup. Resolution of 1920 x 1080P, supports 4K...",https://www.kleinanzeigen.de//s-anzeige/wimius-hd-bluetooth-led-beamer-black-/2601510166-175-3491
278,"La Vague „LV HD 400“ LED-Beamer, NP 499 EUR",245,10557 Mitte,"Verkaufe funktionsfähigen LED-Beamer der Marke La Vague, NP: 499 EUR

Weitere Infos:...",https://www.kleinanzeigen.de//s-anzeige/la-vague-lv-hd-400-led-beamer-np-499-eur/2561776429-175-9672
